,state ,date_installed,incentive_prog_names,size_kw,zipcode,install_type,installer,cost_per_watt,cost,city,utility_clean,tech_1,model1_clean,county,annual_PV_prod,annual_insolation,rebate,sales_tax_cost,tracking_type,reported_annual_energy_prod
0,TX,12/12/2013,Austin Energy,10.56,78702,residential,,2.897777462,30600.53,AUSTIN,Austin Energy,Poly,CHSM6610P-240,Travis,14999.8316,5.157691956,15000.0,1151.6937039999998,Fixed,13836.0
1,TX,7/11/2014,Austin Energy,12.72,78702,residential,,3.1446540880000002,40000.0,AUSTIN,Austin Energy,Mono,SLA265M3A,Travis,17811.57439,5.085632801,15000.0,1507.16599,Fixed,16419.0
2,TX,1/17/2014,Austin Energy,5.4,78702,residential,,4.19732963,22665.58,AUSTIN,Austin Energy,Mono,PLM-300M-72,Travis,7833.742822,5.2627139089999995,7735.5,854.0197832,Fixed,7235.0
3,TX,9/27/2012,Austin Energy,7.5,78702,residential,,3.75,28125.0,AUSTIN,Austin Energy,Poly,multiple matches,Travis,10151.70959,4.92097187,14550.0,1058.5236730000001,Fixed,9340.0
4,TX,9/26/2012,Austin Energy,5.0,78702,residential,,3.85,19250.0,AUSTIN,Austin Energy,Poly,multiple matches,Travis,7307.133789,5.304777622,9600.0,724.5006473,Fixed,6729.0
5,TX,11/29/2012,Austin Energy,3.36,78702,residential,,3.689889881,12398.03,AUSTIN,Austin Energy,Poly,multiple matches,Travis,4787.550469,5.175477982,6451.2,466.6171824,Fixed,4407.0
6,TX,12/18/2012,Austin Energy,15.18,78702,residential,,3.024044796,45905.0,AUSTIN,Austin Energy,Mono,LS300-72M-B,Travis,,,15000.0,1727.698816,Fixed,7391.0
7,TX,3/12/2013,Austin Energy,7.0,78702,residential,,3.4954842860000004,24468.39,AUSTIN,Austin Energy,Poly,TSM-250PA05A,Travis,9941.344116,5.157483101,13440.0,920.9020464,Fixed,9168.0
8,TX,6/28/2013,Austin Energy,2.4,78702,residential,,5.232675,12558.42,AUSTIN,Austin Energy,Poly,multiple matches,Travis,3409.052637,5.157691956,4656.0,472.6536841,Fixed,3145.0
9,TX,6/5/2013,Austin Energy,4.5,78702,residential,,3.4444444439999997,15500.0,AUSTIN,Austin Energy,Poly,REC250PE,Travis,5993.949463,4.84340477,8685.0,583.3641576,Fixed,2474.0
10,TX,5/15/2013,Austin Energy,6.24,78702,residential,,2.8365384610000004,17700.0,AUSTIN,Austin Energy,Mono,multiple matches,Travis,8458.836445,4.924982548,12043.2,666.1642316000001,Fixed,7778.0
11,TX,7/11/2013,Austin Energy,4.335,78702,residential,,2.913785467,12631.26,AUSTIN,Austin Energy,Poly,Conergy PE 255P,Travis,6336.476697,5.301642895,6242.4,475.3951193,Fixed,5849.0
12,TX,9/11/2013,Austin Energy,2.61,78702,residential,,3.831417625,10000.0,AUSTIN,Austin Energy,Poly,TSM-290PA14,Travis,3739.44564,5.201999187,3777.98,376.3639726,Fixed,3450.0
13,TX,9/4/2013,Austin Energy,4.505,78702,residential,,5.77136515,26000.0,AUSTIN,Austin Energy,Mono,S79U265,Travis,6586.7026479999995,5.301641463999999,6487.2,978.5463287999999,Fixed,6079.0
14,TX,1/22/2014,Austin Energy,6.24,78702,residential,,2.884615385,18000.0,AUSTIN,Austin Energy,Mono,PS260M-20/U,Travis,8760.070313,5.095386982,9126.0,678.2246956,Fixed,8076.0
15,TX,12/12/2013,Austin Energy,1.275,78702,residential,,3.514329412,4480.77,AUSTIN,Austin Energy,Poly,Conergy PH 255P,Travis,1747.98251,4.9813790319999995,1836.0,168.6400398,Fixed,1601.0
16,TX,1/22/2014,Austin Energy,6.24,78702,residential,,2.884615385,18000.0,AUSTIN,Austin Energy,Mono,PS260M-20/U,Travis,8760.070313,5.095386982,9126.0,678.2246956,Fixed,8076.0
17,TX,12/27/2004,Austin Energy,2.97,78701,residential,,6.87020202,20404.5,AUSTIN,Austin Energy,,,Travis,3645.689864,4.445167065,14404.5,716.1969749,Fixed,5012.0
18,TX,6/18/2009,Austin Energy,3.2,78701,residential,,7.59365,24299.68,AUSTIN,Austin Energy,,,Travis,4687.411719,5.3164000510000005,13752.0,889.5620064999999,Fixed,4330.0
19,TX,5/19/2009,Austin Energy,3.2,78701,residential,,7.59365,24299.68,AUSTIN,Austin Energy,,,Travis,4687.411719,5.3164000510000005,13752.0,889.5620064999999,Fixed,4330.0
20,TX,5/11/2012,Austin Energy,1.71,78701,residential,,4.378508772,7487.25,AUSTIN,Austin Energy,Mono,LS190-72M,Travis,2411.309366,5.121490002,4061.25,281.7931154,Fixed,2223.0
21,TX,5/11/2012,Austin Energy,1.71,78701,residential,,4.378508772,7487.25,AUSTIN,Austin Energy,Mono,LS190-72M-J,Travis,2411.309366,5.121490002,4061.25,281.7931154,Fixed,2223.0
22,TX,5/11/2012,Austin Energy,1.71,78701,residential,,4.378508772,7487.25,AUSTIN,Austin Energy,Mono,LS190-72M,Travis,2411.309366,5.121490002,4061.25,281.7931154,Fixed,2223.0
23,TX,5/11/2012,Austin Energy,1.71,78701,residential,,4.378508772,7487.25,AUSTIN,Austin Energy,Mono,LS190-72M-J,Travis,2411.309366,5.121490002,4061.25,281.7931154,Fixed,2223.0
24,TX,12/4/2012,Austin Energy,88.0,78702,government,,2.9729509089999997,261619.68,AUSTIN,Austin Energy,Poly,TSM-235PA05,Travis,120057.2656,4.958318233,,9846.422208,,3836.0
25,TX,5/30/2012,Austin Energy,3.055,78702,residential,,5.0,15275.0,AUSTIN,Austin Energy,Poly,TSM-235PA05,Travis,4167.897119,4.958318233,7332.0,574.8959682,Fixed,3836.0
26,TX,9/27/2011,Austin Energy,4.0,78702,residential,,4.5865,18346.0,AUSTIN,Austin Energy,Mono,LS250-60M,Travis,,,11520.0,690.4773442000001,Fixed,2117.0
27,TX,1/20/2010,Austin Energy,11.9,78702,residential,,5.464714286,65030.1,AUSTIN,Austin Energy,Mono,STP175S-24/Ab-1,Travis,17398.837180000002,5.301641463999999,52024.08,2380.620084,Fixed,16057.0
28,TX,3/5/2010,Austin Energy,3.5,78702,residential,,4.3171428569999994,15110.0,AUSTIN,Austin Energy,Poly,multiple matches,Travis,5118.707703,5.307088852,12088.0,553.1464578,Fixed,4582.0
29,TX,4/14/2010,Austin Energy,3.15,78702,residential,,5.965628571,18791.73,AUSTIN,Austin Energy,,,Travis,4639.502417000001,5.347922802,15033.38,687.9271267999999,Fixed,4295.0
30,TX,3/15/2006,Austin Energy,1.53,78702,residential,,7.919607843,12117.0,AUSTIN,Austin Energy,,,Travis,2011.8485850000002,4.782240391,6506.33,422.6860621999999,Fixed,1799.0
31,TX,11/22/2004,Austin Energy,3.3,78702,residential,,6.34030303,20923.0,AUSTIN,Austin Energy,,,Travis,4541.699524000001,5.001062393,15180.0,734.3963002,Fixed,4950.0
32,TX,6/10/2005,Austin Energy,2.88,78702,residential,,7.916666667,22800.0,AUSTIN,Austin Energy,Poly,multiple matches,Travis,3854.5372270000003,4.845315456,13536.0,795.3488668,Fixed,4641.0
33,TX,6/22/2006,Austin Energy,3.4,78702,residential,,6.573808823999999,22350.95,AUSTIN,Austin Energy,Poly,NE-170U1,Travis,4799.936718999999,5.124819279,12784.0,779.6843312999999,Fixed,4427.0
34,TX,3/6/2009,Austin Energy,3.12,78702,residential,,6.6929006410000005,20881.85,AUSTIN,Austin Energy,Poly,KC130GT,Travis,4115.20916,4.780552387,13197.6,764.4421814,Fixed,3772.0
35,TX,11/8/2005,Austin Energy,2.6719999999999997,78702,residential,,6.643027695,17750.17,AUSTIN,Austin Energy,Poly,multiple matches,Travis,3922.08274,5.3235702510000005,12558.4,619.1919998,Fixed,3620.0
36,TX,7/25/2006,Austin Energy,3.5,78702,residential,,6.23426,21819.91,AUSTIN,Austin Energy,,,Travis,5058.262634000001,5.245873928,13230.0,761.1596795,Fixed,4670.0
37,TX,7/25/2006,Austin Energy,3.15,78702,residential,,6.49567619,20461.38,AUSTIN,Austin Energy,Poly,multiple matches,Travis,4552.436371,5.245873928,11907.0,713.7690963,Fixed,4203.0
